;date;location;new_cases;new_deaths;total_cases;total_deaths
17519;2020-06-08;Sao Tome and Principe;1;0;514;12
6530;2020-06-08;Eritrea;0;0;41;0
17458;2020-06-08;San Marino;0;0;695;42
12674;2020-06-08;Malawi;29;0;438;4
12375;2020-06-08;Luxembourg;4;0;4039;110
17882;2020-06-08;Seychelles;0;0;11;0
5970;2020-06-08;Dominican Republic;405;2;19600;538
20025;2020-06-08;Tanzania;0;0;509;21
3122;2020-06-08;British Virgin Islands;0;0;8;1
3212;2020-06-08;Brunei;0;0;141;2
6451;2020-06-08;Equatorial Guinea;0;0;1306;12
21578;2020-06-08;Uzbekistan;171;0;4352;17
22254;2020-06-08;Zambia;0;0;1154;7
8625;2020-06-08;Guernsey;0;0;252;13
10969;2020-06-08;Jordan;13;0;808;9
3460;2020-06-08;Burundi;0;0;83;1
15721;2020-06-08;Palestine;8;0;651;5
2887;2020-06-08;Botswana;0;0;40;1
1848;2020-06-08;Bangladesh;2743;42;65769;888
17614;2020-06-08;Saudi Arabia;3045;36;101914;712
21664;2020-06-08;Vatican;0;0;12;0
5740;2020-06-08;Djibouti;38;2;4207;28
9295;2020-06-08;Iceland;1;0;1807;10
2662;2020-06-08;Bolivia;285;11;13643;465
15473;2020-06-08;Oman;866;3;16882;75
8711;2020-06-08;Guinea;48;0;4165;23
6283;2020-06-08;Egypt;1467;39;34079;1237
10639;2020-06-08;Jamaica;2;0;598;10
6773;2020-06-08;Ethiopia;86;7;2020;27
3612;2020-06-08;Cambodia;1;0;126;0
12925;2020-06-08;Maldives;2;1;1903;8
20179;2020-06-08;Thailand;7;0;3119;58
12221;2020-06-08;Lithuania;9;0;1714;71
20767;2020-06-08;Uganda;23;0;616;0
5658;2020-06-08;Denmark;24;2;11948;589
14937;2020-06-08;Niger;3;0;973;65
18112;2020-06-08;Singapore;383;0;37910;25
15318;2020-06-08;Norway;0;0;8504;238
15892;2020-06-08;Papua New Guinea;0;0;8;0
12834;2020-06-08;Malaysia;19;0;8322;117
3048;2020-06-08;Brazil;27075;904;672846;35930
8785;2020-06-08;Guinea-Bissau;0;0;1368;12
17705;2020-06-08;Senegal;79;2;4328;49
17298;2020-06-08;Saint Vincent and the Grenadines;0;0;26;0
17951;2020-06-08;Sierra Leone;23;0;969;48
6854;2020-06-08;Faeroe Islands;0;0;187;0
21493;2020-06-08;Uruguay;0;0;845;23
19743;2020-06-08;Syria;17;0;141;6
965;2020-06-08;Armenia;766;10;13130;200
11142;2020-06-08;Kenya;167;1;2767;84
6126;2020-06-08;Ecuador;392;13;43120;3621
5818;2020-06-08;Dominica;0;0;18;0
18937;2020-06-07;Spain;240;1;241550;27136
9673;2020-03-10;International;-9;1;696;7
